Id,PostTypeId,AcceptedAnswerId,ParentId,CreationDate,DeletionDate,Score,ViewCount,Body,OwnerUserId,OwnerDisplayName,LastEditorUserId,LastEditorDisplayName,LastEditDate,LastActivityDate,Title,Tags,AnswerCount,CommentCount,FavoriteCount,ClosedDate,CommunityOwnedDate
"710014","1","717593","","2009-04-02 14:49:42","","0","409","<p>I have a classic ASP style #include from a ASP.NET file as:
(!-- #include file= ""../../maininc.aspxinc"" --)</p>

<p>(Guess it is actually an IIS server-side include?)</p>

<p>It is some strange caching going on.  It seems like the original file is cached so that changes in maininc.aspxinc has no effect.</p>

<ol>
<li>IIS6</li>
<li>Expiration headers off as far as i can see</li>
<li>Asp.NET 3.5 (plain, not Web Form).</li>
</ol>

<p>What is going on?  What can i do?  Should a dynamic type be different?
(I know that in ASP.NET this would normally be a control :-)</p>
","76608","Olav","17516","AnthonyWJones","2009-04-04 18:54:01","2009-04-04 18:54:01","Strange caching with #include in ASP.NET on IIS6","<asp-classic><iis-6><asp.net-3.5>","1","0","","",""
"710016","1","710190","","2009-04-02 14:50:00","","7","496","<p>I have been getting more and more sick of all the quirks about control ids, trying to get your data in serverside (based on client-side events). I seem to spend more time fighting with controls in asp.net, that I think it takes me more time than I gain by using it.</p>

<p>I was thinking about using plain html/javascript with jQuery and a web service that returns json for the data. </p>

<p>The only thing I think I would miss from webforms is the MasterPages, the session management, authentication based on windows login and possibly validators(although they have some quirks too). (In fact, maybe not for sessions and auth, but I have never developped webservices)</p>

<ul>
<li>Is there something wrong with the way
I am thinking about this, or
something I didn't think about ?   </li>
<li>Are there things in asp.net that you
think I will miss ?</li>
<li>Has anyone done this before and wants to share experience ?  </li>
</ul>

<p>Please, also take note, that I only have the Framework 2.0 available for development.</p>

<hr>

<p><strong>Edit:</strong> The kind of things giving me troubles in asp.net that makes me wonder for the switch:</p>

<p>Here is a sample of a page giving me problems.   </p>

<p>There is a tree table (master / details)  </p>

<p>You can edit fields on each child row.  </p>

<p>When you press the save button, the data from the group row must be updated (just data from a select, no modification in database), as
the data from the child row.</p>

<p>I don't want to refresh the whole page because the displayed records are based from search criterias.</p>

<p>The Master / Details are generated using Repeaters</p>

<p>Trying to update a record from code behind is really quirky, and still have no clue about updating the display.</p>

<p>Using jQuery and a web service, my guess would be that i could update directly to the database, request what I want to be displayed and just update that record. This is the kind of things that make me wonder if asp.net is just getting in my way.</p>

<pre>

 ________________________________________________________________________
| -  Some             Details           About            Group           |
|________________________________________________________________________|
    |¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯|
    | ChildRecord Some  Editable  Fields       SaveButton   |
    | ChildRecord Some  Editable  Fields       SaveButton   |
    | ChildRecord Some  Editable  Fields       SaveButton   |
    | ChildRecord Some  Editable  Fields       SaveButton   |
    |_______________________________________________________|
 ________________________________________________________________________
| +  Some             Details           About            Group           |
|________________________________________________________________________|
 ________________________________________________________________________
| +  Some             Details           About            Group           |
|________________________________________________________________________|

</pre>

<hr>

<p><strong>Edit2:</strong>
The problem I have about ASP.NET is not related to ajax. Yes, I use jQuery to make the interfaces more dynamic like showing / hiding the search section when not needed and collapsing details from the tree, but this is all I do with it.</p>

<p>What bothers me is that if I want to check which button has been clicked in this example, I have to use some tricks that feel a bit haky.</p>

<p>If you want to use databound comboboxes in a repeater, you have to use codebehind to set the selected value, it will be a pain to retreive the data selected.</p>

<p>Next, if you want to check what data was modified, you have to save the datatable in the viewstate, read data from all controls in the repeater, then compare with the datatable to make an update. This is this kind of things that bother me with asp.net.</p>
","67520","Martin","67520","Martin","2009-04-02 22:12:16","2009-04-02 22:12:16","Advantage of switching from ASP.NET to bread & butter HTML/jQuery","<.net><asp.net><jquery><web-services>","5","0","3","",""
"710021","1","710043","","2009-04-02 14:50:56","","2","3474","<p>I was reading a couple of articles a while back which I think described a behaviour where you can, in a .net application (specifically VB.net), allow an exception to occur, and then handle it in some kind of application-level exception handler, as opposed to within a Try/Catch block.
My google-fu is weak at the moment, so I'm not having much luck guessing what this feature is called in order to find information about it.</p>

<p>If this rings a bell for any of you, can you point me in the right direction on what exactly the feature is called so that I can search for it?</p>

<p>Sample code is always welcome, of course, but this is mostly just a case of me forgetting the name of the feature and being unable to search for it.</p>
","82037","Frosty840","","","","2009-06-05 16:43:26","Handle .net exceptions at application level","<.net><vb.net><exception>","4","0","2","",""
"710022","1","","","2009-04-02 14:51:01","","0","518","<p>i want to monitor and manage mysql database sever with jmx. when i hit google it display connector/mxj. i get it and execute MysqldHtmlAdaptor file. it shows mysql server variables. but i can't rivet that instance into original mysql server running on other server. </p>

<p>plz help.</p>

<p>is there any good tutorial for JMX for mysql ... </p>
","","captain","","","","2009-04-02 14:56:59","mysql monitoring and management","<java>","1","0","","",""
"710027","1","710045","","2009-04-02 14:51:56","","10","6207","<p>I'm a programmer who has never really used .dll files.
Of cause, when I need 3rd party software, such as a graphics library, a library to help me create graphs etc. I do add the references/ddl files to my program and use them in my code.</p>

<p>Also, it seems like you can use .dll for a lot of different things, so I'd like the topic to concentrate on C#.</p>

<p>Right now I am working on a sanitizing library(?) (I think that is the correct term), which will be full of relevant methods that can sanitize variables in all sorts of different ways.</p>

<p><strong>What I want to know is:</strong> </p>

<p>would there be any advantage to: </p>

<p><strong>1)</strong> Write the methods to class library -> compile/build it -> add the library as a reference to the program - which would need to sanitize some variables ?</p>

<p>Or would it be exactly the same if I where to: </p>

<p><strong>2)</strong> Create a new SanitizeClass in the program -> add all the sanitize methods -> call the methods from the SanitizeClass in the different classes in the program that needs to sanitize variables</p>

<p>In general, I also want to know when it is an advantage to use compiled class libraries.
I'm thinking of speed, security, all of it.</p>

<p>Could anyone enlightenment me? :)</p>
","61521","","","","","2016-10-20 05:53:21","When is it the right time to use C# class library (.dll)?","<c#><class><dll><class-library>","7","1","3","",""
"710029","1","710655","","2009-04-02 14:52:19","","6","2657","<p>I'm trying to learn LINQ to SQL and i've found out about the LoadWith function. All the examples i've found will load all records from the table you specify in the LoadWith function e.g.</p>

<pre><code>var dlo = new DataLoadOptions();
dlo.LoadWith&lt;Blog&gt;(b =&gt; b.Posts);
this.LoadOptions = dlo;
</code></pre>

<p>What I would like to know is if it's possible to load in this example only the last blog post?</p>

<p>I've tried </p>

<pre><code>dlo.LoadWith&lt;Blog&gt;(b =&gt; b.Posts.Max());
</code></pre>

<p>But it doesn't like that syntax.</p>
","42707","Alex","67","","2009-05-02 02:03:29","2009-05-02 02:03:29","LINQ to SQL eager loading with conditions","<c#><.net><linq-to-sql><eager-loading>","2","0","1","",""
"710033","1","710058","","2009-04-02 14:53:39","","16","3935","<p>I noticed this in Joe Hewitt's source for Three20 and I've never seen this particular syntax in Objective-C before. Not even sure how to reference it in an appropriate Google search.</p>

<p>From TTTableViewDataSource:</p>

<pre><code>+ (TTSectionedDataSource*)dataSourceWithObjects:(id)object,... {
</code></pre>

<p>The ""..."" is what's throwing me off here. I'm assuming it's a form of enumeration where a variable amount of arguments may be supplied. If it is, what's the official name for this operator and where can I reference the documentation for it?</p>

<p>Thank you kindly.</p>
","","anon","","","","2009-04-02 15:00:06","What is this Objective-C syntax, ellipse style dot notation? ""...""","<objective-c><cocoa><syntax>","1","0","3","",""
"710034","1","50371534","","2009-04-02 14:53:41","","9","19312","<p>In my WPF form I have a textbox.<br>
When a timer elapses, the content of the textbox needs to be fetched.<br>
The timer elapsed is working in a different thread then the UI.</p>

<p>The question is kinda two-fold:</p>

<ul>
<li>What is the easiest, most readable way to read the value from a GUI thread cross thread (I found several and they look too verbose for what should be something really basic)?</li>
<li>Can't I read the text in a non-blocking way? I don't care about thread safety in this case.</li>
</ul>

<p><strong>--EDIT--</strong><br>
I used the Dispatcher, but had a more verbose call then what <a href=""https://stackoverflow.com/questions/710034/how-to-read-textbox-text-value-from-another-thread-in-wpf/710244#710244"">John</a> had:</p>

<pre><code>originalTextBox.Dispatcher.Invoke(
    DispatcherPriority.Normal, 
    (ThreadStart) delegate{text=originalTextBox.Text;}
);
</code></pre>

<p>Wouldn't mind even terser though. Accessing a text property should be utterly basic.</p>
","11333","boris callens","-1","boris callens","2017-05-23 12:08:38","2018-05-16 12:54:44","How to read textbox.Text value from another thread in WPF?","<.net><wpf><multithreading>","8","0","0","",""
"710038","1","710229","","2009-04-02 14:54:22","","1","194","<p>I am trying to figure out if it is possible to create a foreign key in this way.</p>

<p>First there are two parent tables in this scenario.</p>

<p>Table 1 has a PK int and another int column. When combined the two are unique.</p>

<p>Table 2 has a PK int and another int column. When combined the two are unique.</p>

<p>The paired value between the two ints is how we currently select the child records for either table.</p>

<p>Table 3 has a value for the PK and other int column from one of the first two tables. It is reliably selectable because the two fields when both used in a search are unique to one of the above tables.</p>

<p>So I am looking to create a FK or possibly two FK for this scenario. I would like to be able to do cascading deletes from either of the first tables into the third table, and would also like to use this for the entity relationships in Entity Framework.</p>

<p>Please let me know if this is not making sense. I have read it several times, and it is about as clear as I can get it.</p>

<p>Thanks</p>
","86232","","","","","2009-04-02 17:27:13","Composite Foreign Key Question","<sql-server-2005><entity-framework>","3","0","","",""
"710042","1","","","2009-04-02 14:54:59","","3","527","<p>im wondering if is possible to return a serialized AMF object in a control action in ASP.net MVC anyone as tried this before?</p>

<p>thanks in advance.</p>
","86241","","","","","2009-05-12 17:43:43","asp.net MVC","<asp.net-mvc><amf>","3","1","","",""
